J,c,Seed,NRMSE,RMSE,Status
0.4,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
0.0,0.0,0,2.577825675880703,0.29102563878773346,OK
0.0,0.8,0,1.0276530432117061,1.3080850802298636,OK
0.0,0.2,1,1.0731199107100187,0.6985958398974313,OK
1.0,0.8,0,,,OK
1.0,0.2,0,,,OK
0.0,0.5,0,1.0425775403232076,1.0414978442260194,OK
0.0,0.8,2,1.0190021703260435,1.3262330397821989,OK
0.0,0.8,1,1.0117677367490219,1.3466560992037082,OK
0.0,0.5,1,1.0260736626531628,1.066597964735946,OK
0.0,0.2,2,1.0790337783000479,0.6779083545053707,OK
0.0,0.5,2,1.0306529773733115,1.0478132627174497,OK
0.0,0.2,0,1.0861465888238018,0.6867201034544929,OK
0.0,0.0,1,2.492572577215227,0.2802638061419934,OK
0.0,0.0,2,2.59813108983795,0.28224022606518717,OK
