Closure,Seed,Bias_20ms,AbsBias_20ms,RMSE_20ms,NRMSE_20ms,Bias_50ms,AbsBias_50ms,RMSE_50ms,NRMSE_50ms
age_only,0,8.360538067920052,8.360538067920052,8.36269949856287,3023.3535865176655,8.360538067920054,8.360538067920054,8.361702569345981,3024.5525825120862
age_only,1,8.365204063196208,8.365204063196208,8.367451579565246,3040.474109298389,8.36520406319621,8.36520406319621,8.366367484854786,3041.4672023697362
age_only,2,8.340399227735519,8.340399227735519,8.342631438146473,3021.687240049802,8.340399227735519,8.340399227735519,8.341567408910526,3022.831652886104
age_only,3,8.329597262286525,8.329597262286525,8.331717836935102,3018.8877525508774,8.329597262286525,8.329597262286525,8.33068258250681,3020.009909417139
age_only,4,8.349765506515075,8.349765506515075,8.351943746493411,3021.648263051331,8.349765506515078,8.349765506515078,8.350846133606643,3022.7222360943606
age_adapt_no_jensen,0,1.0042512290284642,1.0042512290284642,1.015423177653376,14.918484560151267,1.0042512290284649,1.0042512290284649,1.00886632115975,20.94926084033194
age_adapt_no_jensen,1,1.002523677665878,1.002523677665878,1.0134336801426427,14.64149138717854,1.0025236776658786,1.0025236776658786,1.0069465643637396,20.22920639253936
age_adapt_no_jensen,2,0.9969814561218403,0.9969814561218403,1.0085555897822274,14.857288719997596,0.996981456121841,0.996981456121841,1.0015454698719017,20.09022924555651
age_adapt_no_jensen,3,1.0101898714577622,1.0101898714577622,1.0201691378629687,14.866704335349716,1.0101898714577626,1.0101898714577626,1.0140336887609536,20.86613296926102
age_adapt_no_jensen,4,1.0065243833458266,1.0065243833458266,1.0183929260448357,14.828775773596378,1.0065243833458275,1.0065243833458275,1.011483732244352,21.02799803102699
age_adapt_jensen,0,-0.27427355124862174,0.27427355124862174,0.31037523831015357,3.7747459591861547,-0.27427355124862135,0.27427355124862135,0.2885144006626419,4.990693014250212
age_adapt_jensen,1,-0.2676366562694643,0.2676366562694643,0.3057137009820827,3.7761135966350694,-0.2676366562694638,0.2676366562694638,0.28298439631808603,4.982348132049049
age_adapt_jensen,2,-0.25908442802888704,0.25908442802888704,0.2987534579564653,3.7571172731696865,-0.25908442802888676,0.25908442802888676,0.2761783914420132,4.985615747141249
age_adapt_jensen,3,-0.26652503094313373,0.26652503094313373,0.3067052821241481,4.013746372671059,-0.26652503094313335,0.26652503094313335,0.2834654930073678,5.418170360289435
age_adapt_jensen,4,-0.27530291047542155,0.27530291047542155,0.3089921993972547,3.516719956861051,-0.27530291047542105,0.27530291047542105,0.2882045362459318,4.577234503569165
