Closure,Alpha_PowerLaw,Offset_a,Offset_b,Offset_b_err,Models_Used
age_adapt_jensen,0.21250038545493635,50.394467559204124,1.0705943485248344,0.01737203596196277,5
age_adapt_no_jensen,0.2013838104913221,48.86223587577882,1.105242028314936,0.051563130135390774,5
age_only,0.19698792088441164,47.83805046551394,1.0889841155894093,0.07475192949692434,5
