N,Closure,Seed,NRMSE_20ms,TotalRMSE_20ms,NRMSE_mean_20ms,NRMSE_50ms,TotalRMSE_50ms,NRMSE_mean_50ms,NRMSE_100ms,TotalRMSE_100ms,NRMSE_mean_100ms
1000,age_only,0,3.2843637821086693,0.37961221374590837,0.04524306042174184,2.674038161798294,0.26079934878891586,0.031082668754977633,2.39060899996155,0.19099561349420474,0.022763298357386136
1000,age_only,1,3.1924070735315873,0.37039033703627156,0.04414397585578733,2.54038192191505,0.2501170616527946,0.02980952910129562,2.2138585295421933,0.18054387900012034,0.021517636500087794
1000,age_only,2,3.3151490717585017,0.38561620609248404,0.04595863009698316,2.7006791008420317,0.2669361200382049,0.03181406332652278,2.4532832467051255,0.20047603840732786,0.023893197295399005
1000,age_adapt_no_jensen,0,3.3628663882076513,0.3865364582923773,0.0460683078796661,2.7123967011701366,0.2614884399149682,0.031164796226969195,2.4453888134210002,0.19107712961800452,0.02277301363729778
1000,age_adapt_no_jensen,1,3.284118229838809,0.3761602014158043,0.04483164161915285,2.6375065767776023,0.2523236705153697,0.030072517842125383,2.4073497035764726,0.1853655701950914,0.022092296793328706
1000,age_adapt_no_jensen,2,3.3448608733369682,0.3846157178504798,0.04583938959748085,2.7301750589967173,0.263347417701795,0.03138635349327037,2.4014752967871824,0.18805657841360526,0.022413017368212843
1000,age_adapt_jensen,0,3.2805362662826747,0.3772657327224494,0.04496340139371625,2.5880677891820203,0.24992521841439116,0.029786664781043797,2.2884048137556476,0.1795546544227318,0.021399738430149983
1000,age_adapt_jensen,1,3.279176141336614,0.37636243169561595,0.044855743890990576,2.6679124738165148,0.2563348813762299,0.03055058321718657,2.4317647911776565,0.18874928452323855,0.02249557568229708
1000,age_adapt_jensen,2,3.386532292069773,0.38942744819663594,0.0464128627337535,2.780754596115771,0.26821637101112494,0.03196664659446153,2.5365056630272638,0.1982830122737607,0.023631827375584332
2000,age_only,0,2.6488606822397966,0.3071371262956065,0.03660531210424484,2.2466658524706533,0.22008933780615844,0.026230755618443263,2.0901229756487383,0.16771913441314074,0.01998915381899445
2000,age_only,1,2.487336240569823,0.29509281760147654,0.035169843575428295,2.1021749354118384,0.2152345856210743,0.02565215504003995,1.9696316037444184,0.16989391911658303,0.020248349683034746
2000,age_only,2,2.542198590947037,0.2966683772486704,0.03535762241323925,2.106892132769436,0.20936082245670848,0.02495210637952377,1.8965966728673178,0.15665646473543773,0.018670679295439998
