J,NRMSE_mean,NRMSE_std,RMSE_mean,MassMin_mean,MassMin_min,TailMassMax_max
0.0,1.1082464611543237,0.1741154571979458,0.1530742501202895,0.9904582456039818,0.9904581437560646,0.0
0.0001,1.0342134256203563,0.01338436532502186,0.14780642483443698,0.9904546279162901,0.9904545646195205,0.0
0.0002,1.0527846625494608,0.06814260937259375,0.15582288964993665,0.9904510792522622,0.9904510211307372,0.0
0.0005,1.0539475528647961,0.0911752121413891,0.14113782653519408,0.9904403768729667,0.9904400500044692,0.0
0.001,1.019170019758145,0.0671434518514533,0.14207695190000538,0.9904225358488751,0.990422188409084,0.0
0.002,0.9782497516935278,0.04405285199028209,0.12391526023360501,0.9903864267417752,0.9903857888879102,0.0
