dt,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total,vs_half_dt_bias_hz,vs_half_dt_rmse_hz,vs_half_dt_crmse_hz,vs_half_dt_mc_std_hz,vs_half_dt_nrmse,vs_half_dt_centered_nrmse,vs_half_dt_mc_mean_hz,vs_half_dt_closure_mean_hz
0.0001,0.9999999676691251,0.9999999676691251,3.233087486620434e-08,2.5396231892690007e-06,3.233087495274337e-08,5.968598927996936,2.0,False,0.001,2.0,True,-1.6543612251060553e-24,1.3447569108907081e-11,-0.0016260823715328787,0.0016325117678022709,0.00014474388761845724,0.1254762983868818,0.013010519028611587,0.0011535556075472325,8.206650320982545,8.205024238611012
5e-05,0.9999999670844518,0.9999999670844518,3.291554817597131e-08,2.551049762606604e-06,3.291554788942606e-08,11.899296768999193,2.0,False,0.001,2.0,True,-8.271806125530277e-25,3.4793304464435407e-12,,,,,,,,
