dr,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total,vs_finest_bias_hz,vs_finest_rmse_hz,vs_finest_crmse_hz,vs_finest_mc_std_hz,vs_finest_nrmse,vs_finest_centered_nrmse,vs_finest_mc_mean_hz,vs_finest_closure_mean_hz
0.002,0.9999988420829994,0.9999988420829994,1.15791700061596e-06,3.060878364427535e-06,1.157917000584457e-06,9.990121010006987,2.0,False,0.0001,2.0,True,-8.271806125530277e-25,1.2996341844600752e-11,-0.07564468788171685,0.07564907598396689,0.0008147959901934877,0.04455149428618761,1.6980143359056876,0.018288858841848107,8.141754577095497,8.06610988921378
0.001,0.9999989189161334,0.9999989189161334,1.0810838666497347e-06,2.929376018461344e-06,1.0810838661711678e-06,13.83926871199219,2.0,False,0.0001,2.0,True,-1.6543612251060553e-24,1.6660564587974238e-11,0.0012049808686111618,0.0012050817978488952,1.559633892346444e-05,0.04455149428618761,0.027049189194592496,0.00035007442900293026,8.141754577095497,8.14295955796411
0.0005,0.9999989555115153,0.9999989555115153,1.0444884847027325e-06,2.8634501996181605e-06,1.0444884831673728e-06,20.649210788993514,2.0,False,0.0001,2.0,True,-3.308722450212111e-24,4.2706644466576286e-11,0.0,0.0,0.0,0.04455149428618761,0.0,0.0,8.141754577095497,8.141754577095497
