Closure,total_a,total_bias_floor_hz,total_a_se,bias_floor_se_hz,total_power_alpha,centered_power_alpha
adaptation_neglecting,0.22819994846381494,1.0078319811855099,0.5200921909540507,0.01023802314746437,0.0009468883976034116,0.37553157228963135
mean_only,0.24665514577841563,1.0077696869199426,0.5312916910486345,0.010458491175456388,0.001031045436592914,0.48270195152690965
variance_corrected,3.066047761770929,0.24106354952455125,0.4536388804860411,0.008929890338805703,0.08905400887186075,0.48752165125395835
joint_gaussian,6.28190983674194,0.005467288409453727,0.36044961089979255,0.00709545748223077,0.49203746799596404,0.48711637842785244
