Method,resolution,replicate,runtime_s,state_memory_mb,bias_hz,rmse_hz,crmse_hz,mc_std_hz,nrmse,centered_nrmse,mc_mean_hz,closure_mean_hz,Closure,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
MC,1000.0,0,0.6118793230125448,0.024,-0.12137227221928043,0.2172942071745413,0.18023746560563192,0.052652089150872335,4.1269816768693435,3.4231778550926837,8.125607317216636,8.004235044997353,,,,,,,,,,,,,,
MC,1000.0,1,0.6374528920132434,0.024,0.16155226163166905,0.2619536401247442,0.20620518018783318,0.052652089150872335,4.975180365096761,3.9163722373287215,8.125607317216636,8.287159578848303,,,,,,,,,,,,,,
MC,1000.0,2,0.6180653069895925,0.024,0.08567437209575941,0.1506778135412213,0.12395041532629253,0.052652089150872335,2.8617632456987683,2.354140497086789,8.125607317216636,8.211281689312393,,,,,,,,,,,,,,
MC,5000.0,0,2.6338519109995104,0.12,-0.03631845185577188,0.10373954240332621,0.09717439329808805,0.052652089150872335,1.97028349826851,1.8455942559019631,8.125607317216636,8.089288865360864,,,,,,,,,,,,,,
MC,5000.0,1,2.594468170995242,0.12,-0.02843656255514245,0.09916923223352404,0.0950047289972141,0.052652089150872335,1.883481431275382,1.8043866925200645,8.125607317216636,8.097170754661494,,,,,,,,,,,,,,
MC,5000.0,2,2.655779081003857,0.12,0.008502441032881773,0.09112210904253888,0.09072456807746573,0.052652089150872335,1.730645649813293,1.7230953137965395,8.125607317216636,8.134109758249515,,,,,,,,,,,,,,
MC,20000.0,0,10.414310908992775,0.48,-0.007261337568377311,0.05748898196232025,0.057028554459867355,0.052652089150872335,1.0918651641264985,1.08312044934161,8.125607317216636,8.118345979648259,,,,,,,,,,,,,,
MC,20000.0,1,10.39929878199473,0.48,-0.026613140403504505,0.04236157381129292,0.032958211323325395,0.052652089150872335,0.8045563717311885,0.6259620815592908,8.125607317216636,8.098994176813129,,,,,,,,,,,,,,
MC,20000.0,2,10.374118574007298,0.48,-0.01114346214928422,0.0492230939004905,0.04794513765194521,0.052652089150872335,0.9348744692626308,0.9106027590768611,8.125607317216636,8.11446385506735,,,,,,,,,,,,,,
MC,50000.0,0,25.804395099999965,1.2,-0.014049173578024498,0.026236708488993968,0.0221581947394409,0.052652089150872335,0.49830327556070547,0.4208417006198468,8.125607317216636,8.111558143638609,,,,,,,,,,,,,,
MC,50000.0,1,26.065085409994936,1.2,-0.004979118875359917,0.023151701027169524,0.022609945503615815,0.052652089150872335,0.4397109668493743,0.42942162159658986,8.125607317216636,8.120628198341274,,,,,,,,,,,,,,
MC,50000.0,2,25.91646330799267,1.2,-0.005132051055819867,0.05069123280852076,0.05043077567922299,0.052652089150872335,0.9627582423798451,0.9578114846443364,8.125607317216636,8.120475266160815,,,,,,,,,,,,,,
PDE,0.002,0,1.2475817289960105,0.024024,0.1916900780170631,0.192118210700738,0.01281877032579314,0.052652089150872335,3.648824078950246,0.24346176063520472,8.125607317216636,8.317297395233698,variance_corrected,0.9999999733198105,0.9999999733198105,2.6680189502137353e-08,1.9674549677743643e-06,2.6680189530444625e-08,2.0,True,0.002,0.0001,2.0,False,0.0,0.0
PDE,0.001,0,1.6920852050097892,0.048024,0.257671831579686,0.2579806726120689,0.012619613771641723,0.052652089150872335,4.899723387477299,0.2396792601235775,8.125607317216636,8.383279148796321,variance_corrected,0.9999999794265294,0.9999999794265294,2.0573470593809873e-08,1.873366088628408e-06,2.057346974831669e-08,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
PDE,0.0005,0,2.4622566829930292,0.096024,0.25924978336477633,0.25955651664763435,0.012614878500018327,0.052652089150872335,4.929652760859804,0.23958932500989516,8.125607317216636,8.384857100581412,variance_corrected,0.9999999825113165,0.9999999825113165,1.7488683501376556e-08,1.827772140501505e-06,1.7488682845063364e-08,2.0,True,0.0005,0.0001,2.0,False,0.0,0.0
PDE,0.002,0,4.7547381970071,0.048048,-0.07514775344407025,0.07633008233531019,0.013382698592752592,0.052652089150872335,1.4497066225917374,0.2541722239055897,8.125607317216636,8.050459563772565,joint_gaussian,0.9999999525701748,0.9999999525701748,4.742982517846883e-08,3.1209824546877394e-06,4.7429825751152426e-08,2.0,False,0.002,0.0001,2.0,True,-8.271806125530277e-25,1.02838674218563e-11
PDE,0.001,0,6.161251202996937,0.096048,0.0014077703201066825,0.01313528737942343,0.01305963082425637,0.052652089150872335,0.2494732420167568,0.24803632742538573,8.125607317216636,8.127015087536739,joint_gaussian,0.999999963087435,0.999999963087435,3.691256500459872e-08,2.9825215370976336e-06,3.691256490512976e-08,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3462937262099645e-11
PDE,0.0005,0,9.088493112998549,0.192048,0.00020768018747941181,0.01306493507951778,0.013063284333265613,0.052652089150872335,0.24813706901697216,0.24810571705584794,8.125607317216636,8.125814997404115,joint_gaussian,0.9999999684264153,0.9999999684264153,3.1573584746702466e-08,2.9150239377383653e-06,3.157358462824326e-08,2.0,False,0.0005,0.0001,2.0,True,-1.6543612251060553e-24,1.6048953446654675e-11
