Closure,Seed,N,Duration_s,MC_runtime_s,bias_hz_20ms,rmse_hz_20ms,crmse_hz_20ms,mc_std_hz_20ms,nrmse_20ms,centered_nrmse_20ms,mc_mean_hz_20ms,closure_mean_hz_20ms,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,bias_hz_100ms,rmse_hz_100ms,crmse_hz_100ms,mc_std_hz_100ms,nrmse_100ms,centered_nrmse_100ms,mc_mean_hz_100ms,closure_mean_hz_100ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
mean_only,0,5000,10.0,14.850262067993754,-1.0135388494200301,1.0226198211148678,0.1359790397573283,0.15469035395523573,6.610753644088199,0.8790402005071234,8.136425,7.122886150579969,-1.0135388494200308,1.016276967306753,0.07455115689599644,0.08983882864261979,11.31222415365096,0.8298322453931591,8.136425000000001,7.122886150579969,-1.0135388494200286,1.0149365296630781,0.053246220155582544,0.06198168890818367,16.374780157516366,0.8590637185517584,8.136425,7.122886150579971,0.9999760326403786,0.9999760326403786,2.396735962140184e-05,1.6365258915664546e-05,2.396735961914158e-05,8.507132931001252,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
variance_corrected,0,5000,10.0,14.850262067993754,0.2583982648750515,0.29213683591088524,0.1362874447833924,0.15469035395523573,1.8885265205057566,0.8810338931852935,8.136425,8.39482326487505,0.25839826487505113,0.2689308100885372,0.07452595067786642,0.08983882864261979,2.993480816166337,0.8295516738573226,8.136425000000001,8.394823264875052,0.2583982648750534,0.2637646851285896,0.05293529853080773,0.06198168890818367,4.255525942820247,0.8540473721073207,8.136425,8.394823264875054,0.9999984148409458,0.9999984148409458,1.5851590542403926e-06,1.880647560919514e-06,1.5851590536787352e-06,8.577652580992435,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
joint_gaussian,0,5000,10.0,14.850262067993754,0.0017838847222119312,0.13613132712089296,0.13611963847657482,0.15469035395523573,0.8800246663103933,0.8799491047513222,8.136425,8.13820888472221,0.0017838847222115298,0.07448299657490048,0.0744616312880298,0.08983882864261979,0.8290735498254876,0.8288357318664437,8.136425000000001,8.138208884722214,0.0017838847222137939,0.05300580591938923,0.05297577952670267,0.06198168890818367,0.8551849240169814,0.8547004842862241,8.136425,8.138208884722214,0.999997180313023,0.999997180313023,2.8196869770180655e-06,2.9923983907791833e-06,2.819686974287628e-06,29.31790154101327,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,8.380254574038855e-12
mean_only,1,5000,10.0,13.992985207005404,-1.0225596336402343,1.0330187139179983,0.14662693802417492,0.1536531566544364,6.72305559098432,0.9542722142307604,8.146075,7.123515366359765,-1.0225596336402347,1.0262530886244354,0.08698964053691852,0.09249586835396699,11.095123564839977,0.9404705538200148,8.146075000000002,7.123515366359767,-1.0225596336402327,1.024100860793194,0.05616376702923613,0.06009824123158181,17.040446439138485,0.9345326232229554,8.146074999999998,7.123515366359767,0.9999760332841037,0.9999760332841037,2.3966715896328594e-05,1.5752730125060127e-05,2.3966715893660434e-05,8.12677792199247,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
variance_corrected,1,5000,10.0,13.992985207005404,0.24948601041282822,0.29017842737971755,0.14818991303343224,0.1536531566544364,1.8885289030040846,0.964444312502535,8.146075,8.395561010412829,0.24948601041282778,0.26458035277662456,0.08808798830540675,0.09249586835396699,2.860455904518001,0.9523451141439963,8.146075000000002,8.395561010412829,0.24948601041283008,0.2557650081594929,0.056324683817263396,0.06009824123158181,4.255781915046918,0.937210185573028,8.146074999999998,8.395561010412829,0.9999984149655338,0.9999984149655338,1.5850344662338145e-06,1.829696168720707e-06,1.5850344639734702e-06,8.205826419012737,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
joint_gaussian,1,5000,10.0,13.992985207005404,-0.007153720881791412,0.14791773665697633,0.14774464827961797,0.1536531566544364,0.9626729439060016,0.961546456295027,8.146075,8.13892127911821,-0.007153720881791815,0.08807163835893092,0.08778062292312425,0.09249586835396699,0.9521683500704567,0.9490220967189772,8.146075000000002,8.138921279118208,-0.007153720881789587,0.05672167373641978,0.056268752865211984,0.06009824123158181,0.9438158683853857,0.9362795268564794,8.146074999999998,8.13892127911821,0.9999971805941371,0.9999971805941371,2.819405862886093e-06,2.9082874659844686e-06,2.819405859814949e-06,28.060777346996474,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,8.38341903082239e-12
mean_only,2,5000,10.0,13.4205922169931,-1.0108038946551068,1.020835994108385,0.14276418814717629,0.16377970762434355,6.232982149716894,0.8716842288827996,8.132625,7.121821105344892,-1.0108038946551072,1.0151669384810507,0.09401808089434646,0.1070138564233801,9.48631301038937,0.8785598803428006,8.132625,7.121821105344894,-1.0108038946551052,1.0133365299172363,0.07159894841949112,0.07752955146445842,13.070326227564678,0.9235052578927141,8.132624999999999,7.121821105344893,0.9999760145482574,0.9999760145482574,2.3985451742647435e-05,1.6013080120997067e-05,2.3985451738536553e-05,8.095678874989972,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
variance_corrected,2,5000,10.0,13.4205922169931,0.2609654509442749,0.2971517610228789,0.14211334382263105,0.16377970762434355,1.8143380845717876,0.8677103280010247,8.132625,8.393590450944275,0.26096545094427454,0.27733374033550817,0.09386712386099037,0.1070138564233801,2.5915685090189595,0.8771492496226174,8.132625,8.393590450944274,0.26096545094427687,0.27063727411634453,0.07170472477163292,0.07752955146445842,3.490762799529567,0.9248695938155176,8.132624999999999,8.393590450944277,0.9999984134846504,0.9999984134846504,1.5865153496497086e-06,1.8323974456131472e-06,1.5865153468468262e-06,8.36947446000704,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
joint_gaussian,2,5000,10.0,13.4205922169931,0.004389100745576251,0.1422679059404987,0.1422001858484713,0.16377970762434355,0.8686540475869832,0.8682405647873757,8.132625,8.137014100745578,0.004389100745575833,0.09396018121598954,0.09385761263097829,0.1070138564233801,0.878018831918867,0.8770603711322054,8.132625,8.137014100745578,0.004389100745578109,0.07178995482928895,0.07165565859746537,0.07752955146445842,0.9259689173127662,0.924236723210171,8.132624999999999,8.137014100745578,0.9999971780419671,0.9999971780419671,2.8219580329169602e-06,2.9202767019439287e-06,2.8219580313186552e-06,28.008084368004347,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3469792456054963e-11
mean_only,3,5000,10.0,13.581942007993348,-0.9986192458437166,1.0099754040100573,0.15102952868828307,0.1640646762968174,6.155958898689817,0.9205487256443197,8.121249999999998,7.122630754156282,-0.9986192458437174,1.0036725611890516,0.10058932306321436,0.10672568980080038,9.404226508747518,0.9425033771246705,8.121250000000003,7.122630754156284,-0.9986192458437152,1.0013971581310441,0.07453770953994501,0.07466544936103914,13.41178773717498,0.9982891709326431,8.121249999999998,7.122630754156286,0.9999760317963688,0.9999760317963688,2.3968203631152818e-05,1.6084898715786446e-05,2.3968203630139994e-05,8.021330457995646,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
