J,g,Closure,Seed,N,Duration_s,MC_runtime_s,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
0.0,0.0,variance_corrected,7,5000,10.0,17.107625523000024,0.999998415397802,0.999998415397802,1.5846021980125968e-06,1.8537717718982843e-06,1.584602197178601e-06,10.534189038007753,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.26875272108441195,0.28455963050818045,0.09352089726192993,0.09960207711732157,2.856964821858051,0.9389452506273679,8.125575000000001,8.394327721084412
0.0,0.0,joint_gaussian,7,5000,10.0,17.107625523000024,0.999997181369292,0.999997181369292,2.8186307079458572e-06,2.9452424032737995e-06,2.8186307058761276e-06,33.74760078500549,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.6665043434013167e-11,0.012154781475232216,0.09407621379197208,0.09328770170136141,0.09960207711732157,0.9445206015247999,0.9366039785643985,8.125575000000001,8.137729781475233
0.0,0.0,variance_corrected,11,5000,10.0,15.953525403005187,0.9999984154747259,0.9999984154747259,1.584525274100912e-06,1.8354318247931416e-06,1.5845252703404414e-06,10.021338458012906,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2612812908202397,0.27455331296800256,0.0843303547307568,0.10240845226431841,2.6809634058268412,0.8234706497965455,8.1337,8.39498129082024
0.0,0.0,joint_gaussian,11,5000,10.0,15.953525403005187,0.9999971814711349,0.9999971814711349,2.8185288650783846e-06,2.917265871942653e-06,2.8185288617554036e-06,33.34751745399262,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3458251618313908e-11,0.0046626776476073216,0.08453728390992207,0.08440860032023557,0.10240845226431841,0.8254912757760418,0.8242347038150246,8.1337,8.138362677647608
0.0,0.0,variance_corrected,13,5000,10.0,15.239563021998038,0.9999984171515054,0.9999984171515054,1.5828484946078802e-06,1.8469772334368754e-06,1.5828484925479639e-06,9.56300387000374,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2764242234537465,0.29394408158338337,0.09996385239621365,0.11021491775010472,2.667008129061586,0.9069902190814697,8.118825000000001,8.395249223453748
0.0,0.0,joint_gaussian,13,5000,10.0,15.239563021998038,0.9999971843736958,0.9999971843736958,2.8156263042200536e-06,2.935473875514193e-06,2.8156263011792256e-06,32.00549036900338,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3486808546933964e-11,0.019795051745913877,0.10183419673390934,0.0998917391520297,0.11021491775010472,0.9239601935266388,0.9063359224975223,8.118825000000001,8.138620051745916
0.0001,0.01606,variance_corrected,7,5000,10.0,15.581168802003958,0.9999984336722182,0.9999984336722182,1.5663277818100951e-06,1.8384486883704605e-06,1.566327781020618e-06,9.54394583699468,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.26914250610873663,0.28538671464113324,0.09490989568621525,0.10124279801515734,2.8188347244058507,0.9374483671619389,8.130525000000002,8.399667506108738
0.0001,0.01606,joint_gaussian,7,5000,10.0,15.581168802003958,0.9999972115793591,0.9999972115793591,2.788420640942313e-06,2.9225901395939955e-06,2.788420640292557e-06,32.84427914499247,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.6656819923093694e-11,0.012216806958570133,0.09545390595775607,0.09466888501682678,0.10124279801515734,0.9428216903237443,0.935067845543479,8.130525000000002,8.14274180695857
0.0001,0.01606,variance_corrected,11,5000,10.0,15.978680832995451,0.999998433773892,0.999998433773892,1.5662261080295892e-06,1.8199471185907597e-06,1.5662261088670119e-06,10.178886623005383,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2620059413776943,0.27554342675717597,0.08530572496541712,0.10401008560490681,2.649199115207505,0.820167818046606,8.138325000000004,8.400330941377696
0.0001,0.01606,joint_gaussian,11,5000,10.0,15.978680832995451,0.9999972117205803,0.9999972117205803,2.788279419685402e-06,2.8943842912778917e-06,2.7882794189507303e-06,34.14419745399209,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3452934989641917e-11,0.005058857034403089,0.08553979570915353,0.08539007328413058,0.10401008560490681,0.8224182800318557,0.8209787809279737,8.138325000000004,8.143383857034403
