kappa,Seed,Closure,N,Duration_s,MC_runtime_s,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.5,0,mean_only,5000,8.0,25.900378324993653,-1.1427167345145703,1.1471436463504396,0.10068271958255458,0.14006219412378662,8.190244723259132,0.7188429412548788,8.2669,7.1241832654854305,0.9999820137248521,0.9999820137248521,1.798627514792983e-05,1.6613527765526318e-05,1.7986275146773712e-05,9.426701663003769,0.5,False,0.001,0.0001,2.0,False,0.0,0.0
0.5,0,variance_corrected,5000,8.0,25.900378324993653,0.12939310452918334,0.16283481138973344,0.0988564631201718,0.14006219412378662,1.1625893226106427,0.7058040446860535,8.2669,8.396293104529185,0.9999988125710715,0.9999988125710715,1.18742892851742e-06,1.9496462654404643e-06,1.187428926442106e-06,9.767437943010009,0.5,True,0.001,0.0001,2.0,False,0.0,0.0
0.5,0,joint_gaussian,5000,8.0,25.900378324993653,-0.007711110372063074,0.09930626124199045,0.09900642554244807,0.14006219412378662,0.7090154617613931,0.7068747292002754,8.2669,8.25918888962794,0.9999972862325163,0.9999972862325163,2.7137674837307557e-06,3.73085492444033e-06,2.713767482665502e-06,32.601867133998894,0.5,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,3.3667257727203675e-12
0.5,1,mean_only,5000,8.0,17.17696375399828,-1.1178214427781257,1.1220345417393027,0.0971428583147342,0.1243977443341699,9.019733820294837,0.7809053036667541,8.2634,7.145578557221874,0.9999827558266292,0.9999827558266292,1.724417337078954e-05,1.6185317321277044e-05,1.724417336919797e-05,9.194683369001723,0.5,False,0.001,0.0001,2.0,False,0.0,0.0
0.5,1,variance_corrected,5000,8.0,17.17696375399828,0.15774799469588638,0.18454484194019782,0.09577248485947941,0.1243977443341699,1.4835063362921972,0.7698892401312808,8.2634,8.421147994695888,0.9999988719087202,0.9999988719087202,1.1280912798339315e-06,1.8902253254554363e-06,1.1280912785434402e-06,10.026800959996763,0.5,True,0.001,0.0001,2.0,False,0.0,0.0
0.5,1,joint_gaussian,5000,8.0,17.17696375399828,0.020150441081208028,0.0980020692902596,0.0959081086739052,0.1243977443341699,0.7878122695456314,0.7709794834885998,8.2634,8.28355044108121,0.9999974102393772,0.9999974102393772,2.5897606228397763e-06,3.6254334380998377e-06,2.58976061976379e-06,40.56379467000079,0.5,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,2.7200119799614226e-12
0.5,2,mean_only,5000,8.0,19.824557328000083,-1.095231995050684,1.1000944867788731,0.10331871494831536,0.12711635063900426,8.65423276587773,0.8127885549651167,8.239133333333335,7.14390133828265,0.9999826992889298,0.9999826992889298,1.7300711070200592e-05,1.568208351071542e-05,1.7300711068323736e-05,25.615331804991,0.5,False,0.001,0.0001,2.0,False,0.0,0.0
0.5,2,variance_corrected,5000,8.0,19.824557328000083,0.18005948724917883,0.20692842354886318,0.10197035610401943,0.12711635063900426,1.6278663012952281,0.8021812740172463,8.239133333333335,8.419192820582513,0.9999988673115822,0.9999988673115822,1.1326884178375352e-06,1.8092542845796634e-06,1.1326884170110953e-06,28.83672777499305,0.5,True,0.001,0.0001,2.0,False,0.0,0.0
0.5,2,joint_gaussian,5000,8.0,19.824557328000083,0.04250392374789021,0.11059931284669093,0.10210594727141875,0.12711635063900426,0.8700636251018581,0.8032479437785925,8.239133333333335,8.281637257081224,0.999997400606048,0.999997400606048,2.5993939519741716e-06,3.4834038217554074e-06,2.599393949376279e-06,46.57665275099862,0.5,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,2.0909584922893933e-12
0.5,3,mean_only,5000,8.0,21.056464182998752,-1.0946664033322877,1.100066448120851,0.1088653098869389,0.12747994088586542,8.629329763384154,0.8539799213148956,8.2125,7.117833596667714,0.9999819194271897,0.9999819194271897,1.8080572810275086e-05,1.635903636357326e-05,1.8080572808492963e-05,9.15478965100192,0.5,False,0.001,0.0001,2.0,False,0.0,0.0
