Closure,J,g,nrmse_mean,nrmse_std,bias_mean_hz,mass_error_max,tail_mass_max
joint_gaussian,0.0,0.0,0.8979906902758268,0.06362237359114672,0.012204170289584473,2.8186307079458572e-06,2.9452424032737995e-06
joint_gaussian,0.0001,0.01606,0.8963047068798176,0.06469976913918805,0.01245163164592787,2.788420640942313e-06,2.9225901395939955e-06
joint_gaussian,0.0002,0.03212,0.8965191321359979,0.06548652422150338,0.012276024131928243,2.7585332736945745e-06,2.900102474108001e-06
joint_gaussian,0.0005,0.0803,0.893613322593635,0.06371146262490066,0.012328906592376093,2.670771035662156e-06,2.8336273223746804e-06
joint_gaussian,0.001,0.1606,0.8834847261822931,0.059683643100973884,0.011502204791875711,2.5306271250746804e-06,2.7261328863783706e-06
joint_gaussian,0.002,0.3212,0.866112262716502,0.06556578357576213,0.011014896766594067,2.2720197552228427e-06,2.6948062354277113e-06
variance_corrected,0.0,0.0,2.7349787855821592,0.10587318934520709,0.2688194117861327,1.5846021980125968e-06,1.8537717718982843e-06
variance_corrected,0.0001,0.01606,2.708925826311532,0.09530345689097516,0.26939542750145634,1.5663277818100951e-06,1.8384486883704605e-06
variance_corrected,0.0002,0.03212,2.6694804225953432,0.09834524224475565,0.2695494236490896,1.5482636406272121e-06,1.8232460763050833e-06
variance_corrected,0.0005,0.0803,2.5397578565405157,0.0880327332161138,0.27059762773451035,1.4953071381107463e-06,1.7783606720331144e-06
variance_corrected,0.001,0.1606,2.322374775387016,0.06924291208938411,0.27145327622677984,1.4110198722772083e-06,1.705959415433874e-06
variance_corrected,0.002,0.3212,1.898221049863496,0.07022963803501896,0.2744489786435258,1.2563751021765768e-06,1.7350300786933528e-06
