amplitude,time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz,joint_gaussian_hz
0.0015,0.0,0.0,7.524748069894826,6.731181685441917,7.715189019269571,7.419691051483415
0.0015,0.001,0.0,7.525517941918199,6.731710007436418,7.716021445499856,7.420505734975613
0.0015,0.002,0.0,7.527705431665985,6.733195087544039,7.718361737189567,7.422795983692345
0.0015,0.003,0.0,7.53127842707183,6.735626037145364,7.722193854623905,7.42654564335444
0.0015,0.004,0.0,7.536223176136139,6.738985092274588,7.727491619659469,7.431728352957472
0.0015,0.005,0.0,7.54249972312576,6.743247829801011,7.734219019060853,7.438307856192743
0.0015,0.006,0.0,7.550072190334108,6.7483834631539805,7.742330619715321,7.446238427657567
0.0015,0.007,0.0,7.558886429709118,6.754355212582248,7.751772088946574,7.455465406828533
0.0015,0.008,0.0,7.568883707573465,6.761120743718728,7.762480811490777,7.465925831053973
0.0015,0.009000000000000001,0.0,7.580006264655411,6.76863266713718,7.774386593217019,7.477549157289165
0.0015,0.01,0.0,7.592175095332316,6.77683909065821,7.787412440400216,7.490258060979728
0.0015,0.011000000000000001,0.0,7.605318711077957,6.785684215408686,7.801475402310714,7.503969299420735
0.0015,0.012,0.0,7.619343631648239,6.7951089660727755,7.816487464089429,7.518594626099648
0.0015,0.013000000000000001,0.0,7.6341767361579445,6.8050516454035215,7.832356476342931,7.53404174198296
0.0015,0.014,0.0,7.649726680753386,6.815448602895654,7.8489871076243025,7.550215269435244
0.0015,0.015000000000000001,0.0,7.665899067362027,6.826234907550635,7.866281805962326,7.567017734463762
0.0015,0.016,0.0,7.682601580423752,6.837345014888748,7.88414175585687,7.584350543254975
0.0015,0.017,0.0,7.699750927245668,6.848713418769829,7.902467817658619,7.602114939497524
0.0015,0.018000000000000002,0.0,7.717246448088564,6.860275279158729,7.92116143697893,7.620212929750268
0.0015,0.019,0.0,7.734998321117833,6.8719670176967025,7.940125512707421,7.638548165089791
0.0015,0.02,0.0,7.7529136887792545,6.883726873793832,7.959265213323507,7.657026768431882
0.0015,0.021,0.0,7.770910693379472,6.8954954149170025,7.97848873244449,7.675558098232878
0.0015,0.022000000000000002,0.0,7.788909786167105,6.907215995788424,7.99770797592298,7.694055440707867
0.0015,0.023,0.0,7.806818782348193,6.918835162304568,8.016839174258994,7.712436624216631
0.0015,0.024,0.0,7.824568213295983,6.930302997109351,8.035803415590687,7.730624551030134
0.0015,0.025,0.0,7.842092400911825,6.941573404882433,8.054527096040662,7.748547643265751
0.0015,0.026000000000000002,0.0,7.859318141853612,6.952604336509847,8.07294228568891,7.766140201333903
0.0015,0.027,0.0,7.8761873171470995,6.963357952366473,8.090987009889082,7.783342674741483
0.0015,0.028,0.0,7.892641697024147,6.9738007259387205,8.108605447014572,7.80010184652001
0.0015,0.029,0.0,7.908632906165619,6.983903489932741,8.125748044990384,7.8163709338633325
0.0015,0.030000000000000002,0.0,7.92411082388917,6.99364142783447,8.142371560116437,7.832109608750217
0.0015,0.031,0.0,7.939038308842479,7.002994014600587,8.158439022700415,7.847283943374375
0.0015,0.032,0.0,7.953388092246694,7.011944910756601,8.173919634882767,7.861866286094985
0.0015,0.033,0.0,7.967119880362738,7.020481814654148,8.188788606743294,7.875835074348245
0.0015,0.034,0.0,7.98022105605839,7.0285962779925795,8.203026937326442,7.889174591518438
0.0015,0.035,0.0,7.9926686755325145,7.036283489941432,8.216621147608262,7.9018746751587035
0.0015,0.036000000000000004,0.0,8.004460221172998,7.043542035314359,8.229562972659034,7.9139303841783954
0.0015,0.037000000000000005,0.0,8.015571884630171,7.050373632247657,8.24184902033601,7.925341632685814
0.0015,0.038,0.0,8.025999630785778,7.0567828547367135,8.25348040378245,7.936112798100275
0.0015,0.039,0.0,8.035745068385468,7.062776845192024,8.264462354823857,7.946252310941379
0.0015,0.04,0.0,8.044813424479335,7.068365021903034,8.274803825054226,7.95577223337877
0.0015,0.041,0.0,8.053217657938408,7.073558785958092,8.284517081010044,7.964687833201032
0.0015,0.042,0.0,8.06096321077746,7.078371231772526,8.293617299354043,7.973017159353351
0.0015,0.043000000000000003,0.0,8.068052244384711,7.082816864939559,8.302122167451728,7.980780624619363
0.0015,0.044000000000000004,0.0,8.074505348078171,7.086911330652336,8.310051494136982,7.988000600399551
0.0015,0.045000000000000005,0.0,8.080348297105642,7.090671155462513,8.317426834846742,7.99470102788497
0.0015,0.046,0.0,8.085589122817545,7.094113504653696,8.324271134672374,8.000907049256037
0.0015,0.047,0.0,8.0902533155139,7.097255957026181,8.330608392242878,8.00664466186763
0.0015,0.048,0.0,8.094358842264718,7.100116298423503,8.336463346734003,8.011940397726642
0.0015,0.049,0.0,8.09793297311961,7.102712334888871,8.341861189699879,8.016821029938347
0.0015,0.05,0.0,8.101005692900205,7.10506172592685,8.34682730285923,8.021313307204288
0.0015,0.051000000000000004,0.0,8.103587446261946,7.107181837969444,8.351387022444364,8.02544371690336
0.0015,0.052000000000000005,0.0,8.10571452438268,7.109089617808332,8.355565430244088,8.02923827678824
0.0015,0.053000000000000005,0.0,8.107413724679173,7.110801485460222,8.35938717104598,8.03272235488287
0.0015,0.054,0.0,8.108709732727926,7.11233324568061,8.362876295811446,8.03592051677926
0.0015,0.055,0.0,8.109631736778914,7.113700017133954,8.366056129600391,8.03885639920144
0.0015,0.056,0.0,8.110201750398353,7.114916178062755,8.368949163000352,8.041552608433648
0.0015,0.057,0.0,8.110448194069312,7.115995327174726,8.371576965606714,8.044030641995382
0.0015,0.058,0.0,8.11039972548103,7.116950258381607,8.373960119943519,8.046310831785343
0.0015,0.059000000000000004,0.0,8.110077486630555,7.117792947973861,8.376118174105136,8.048412306807414
0.0015,0.060000000000000005,0.0,8.109514848609814,7.118534552797778,8.378069611333505,8.050352973528188
0.0015,0.061000000000000006,0.0,8.108734043359174,7.119185418012649,8.379831834720957,8.052149511895479
0.0015,0.062,0.0,8.107756981775252,7.119755093042143,8.381421165237956,8.053817385063601
0.0015,0.063,0.0,8.106608476041647,7.120252354393399,8.382852851329876,8.055370860923336
0.0015,0.064,0.0,8.105315685107245,7.120685234099712,8.384141088400487,8.056823043619554
0.0015,0.065,0.0,8.103904753846624,7.121061052651946,8.385299046611923,8.058185913363117
0.0015,0.066,0.0,8.10238825662394,7.121386455432732,8.386338905588607,8.059470373018005
0.0015,0.067,0.0,8.100795617406202,7.1216674518794285,8.387271894844138,8.060686300196366
0.0015,0.068,0.0,8.09914245247806,7.121909456919098,8.388108339096528,8.061842603966939
0.0015,0.069,0.0,8.097453877211436,7.122117334695982,8.388857708156287,8.062947285830276
0.0015,0.07,0.0,8.095737955096896,7.122295445293901,8.3895286718078,8.064007505371444
0.0015,0.07100000000000001,0.0,8.09401567015242,7.122447695991797,8.390129160999063,8.065029651882186
0.0015,0.07200000000000001,0.0,8.092305810974239,7.122577599236985,8.390666437337353,8.066019423823601
0.0015,0.07300000000000001,0.0,8.090619677565634,7.1226883389780165,8.391147172292836,8.066981917137856
0.0015,0.07400000000000001,0.0,8.08897185978463,7.12278284317597,8.391577533419815,8.067921718883914
0.0015,0.075,0.0,8.087379410001185,7.122863850168561,8.391963264118576,8.068842991482914
0.0015,0.076,0.0,8.085851753117128,7.122933938774653,8.392309724657084,8.069749514371663
0.0015,0.077,0.0,8.084398349424847,7.122995475727587,8.392621845190199,8.070644635081413
0.0015,0.078,0.0,8.083034346776508,7.1230504536806505,8.392903963067607,8.071531107546784
0.0015,0.079,0.0,8.081759550756864,7.123100302710932,8.393159633964723,8.072410914034952
0.0015,0.08,0.0,8.080577634563488,7.123145909197239,8.393391666194203,8.073285317194737
0.0015,0.081,0.0,8.079498945722111,7.123183482670293,8.393597504171298,8.074150342722431
0.0015,0.082,0.0,8.078522138891042,7.123210252208385,8.39377559517639,8.075003042103486
0.0015,0.083,0.0,8.077641508986074,7.123228285278009,8.393929659418188,8.075845695500831
0.0015,0.084,0.0,8.076868586431662,7.123239654203879,8.39406329418579,8.076680522659082
0.0015,0.085,0.0,8.076202128331026,7.123246345638982,8.394179889067948,8.077509606886416
0.0015,0.08600000000000001,0.0,8.075648770881049,7.1232500273041826,8.394282385689918,8.078334652908495
0.0015,0.08700000000000001,0.0,8.075211182346395,7.123251923237176,8.394373150891917,8.079156849041798
0.0015,0.08800000000000001,0.0,8.074881918990778,7.123252835548689,8.394454005572872,8.07997688509528
