chi_target,theta1,sigma,Seed,joint_gaussian,mean_only,variance_corrected,rmse_improvement_factor,joint_improvement_over_mean,joint_improvement_over_fixed
0.045,1500.0,0.002,0,0.08298998131016033,0.2635080993350139,0.09744872131529606,2.7040693379898904,3.175179644277773,1.1742227167288875
0.045,1500.0,0.002,1,0.10208301547842033,0.2599570892513859,0.11887665866777931,2.186779912597303,2.546526354389865,1.1645096700039101
0.045,1500.0,0.002,2,0.09571633361336772,0.2824347359830131,0.1004994412630837,2.810311504555194,2.9507475403713994,1.0499716972971056
0.045,1500.0,0.002,3,0.09171258118991057,0.2726651384901366,0.10137784982027549,2.689592834860104,2.973039630468201,1.1053865075539735
0.045,1500.0,0.002,4,0.08388844749269046,0.2831601128842289,0.08631938809651044,3.2803767395528602,3.375436324636974,1.0289782523872764
0.045,2000.0,0.0015,0,0.0814100384216432,0.2597566959499809,0.09789910458975531,2.6533102323916786,3.1907207143747462,1.2025434023591914
0.045,2000.0,0.0015,1,0.10267155523402986,0.2547496665299716,0.12237109067285733,2.0817798152262172,2.4812097756705294,1.1918694558967602
0.045,2000.0,0.0015,2,0.10017356479027105,0.27879579142357624,0.10686345676890546,2.608897371030007,2.7831273850269644,1.0667830079985747
0.045,2000.0,0.0015,3,0.09167160104296736,0.26823438183613324,0.10357911524754526,2.5896570094760505,2.9260357491783004,1.1298931628672737
0.045,2000.0,0.0015,4,0.08219205867018568,0.2762344989096545,0.08790451182992537,3.1424382339339254,3.3608417087848865,1.069501278495313
0.045,2500.0,0.0012,0,0.08183195269728878,0.2619487363604755,0.09701104070205385,2.700195095989004,3.201056894358507,1.1854909666021936
0.045,2500.0,0.0012,1,0.10221741165068232,0.25697778889342254,0.12056758284928358,2.13140035505779,2.514031462385471,1.1795209925810988
0.045,2500.0,0.0012,2,0.10197124750704864,0.27908342097566036,0.10908582559599683,2.5583839096497796,2.7368834627267753,1.069770432968925
0.045,2500.0,0.0012,3,0.09458515550003938,0.26979567123752896,0.10612682679723937,2.54220049142699,2.8524102943132195,1.12202412985614
0.045,2500.0,0.0012,4,0.0850973500640506,0.2822342231134739,0.08773337945929777,3.2169537393052448,3.3166041351586557,1.0309766331532426
0.18,1500.0,0.004,0,0.08821630244131685,1.0359729990447968,0.2560938231682069,4.045286942998042,11.743554993522263,2.903021506014326
0.18,1500.0,0.004,1,0.10087576703779183,1.0304165540938206,0.26639041586560924,3.86806916737445,10.214708490967787,2.6407771032443246
0.18,1500.0,0.004,2,0.10150821200604541,1.0527062253949584,0.24586194914479312,4.2816964115703735,10.370650852684347,2.422089250573644
0.18,1500.0,0.004,3,0.09983309221148853,1.0392523083791014,0.25658939521152563,4.0502543276286564,10.40989801435307,2.57018378903822
0.18,1500.0,0.004,4,0.08742371257573331,1.0593022056694064,0.23225826600995417,4.5608805398728265,12.116875095549796,2.6566964404394717
0.18,2000.0,0.003,0,0.08998699704757261,1.0167628932532748,0.27459093529557493,3.7028275975636697,11.298997928731325,3.051451257456779
0.18,2000.0,0.003,1,0.09905999732981918,1.0126432705025128,0.28202181212338046,3.590655853453973,10.22252471026148,2.84697980744328
0.18,2000.0,0.003,2,0.10745975357461036,1.0328735299101344,0.26685259934219757,3.870576986906664,9.61172434843711,2.483279464780451
0.18,2000.0,0.003,3,0.09908227345698145,1.013322558369428,0.2811578126081673,3.6041059964484594,10.22708223191288,2.837619715399825
0.18,2000.0,0.003,4,0.09011830737824372,1.042573490354233,0.24909782947455442,4.18539773129871,11.568942212577886,2.7641201518470973
0.18,2500.0,0.0024,0,0.08867795996354876,1.0279360104086697,0.2630872750025018,3.907205357609541,11.591786852462604,2.966771846247301
0.18,2500.0,0.0024,1,0.10494907548267392,1.018101284027711,0.2791717500087499,3.6468635669468754,9.700907600618072,2.6600686925997596
0.18,2500.0,0.0024,2,0.10915224284046791,1.0442972359795202,0.25689598645230816,4.065058588112237,9.567345652308939,2.353556644985994
0.18,2500.0,0.0024,3,0.09944988808902828,1.0228314770962021,0.27323668327538775,3.7433900339996384,10.284893193449909,2.74748105327966
0.18,2500.0,0.0024,4,0.09059454909043087,1.0461427340036156,0.24683159268873753,4.2382853937292975,11.547524045396628,2.7245744381635135
0.405,1500.0,0.006,0,0.10322975125229791,2.4327888581187684,0.710007645655809,3.4264262828771193,23.566741453952833,6.877936225192678
0.405,1500.0,0.006,1,0.10801589759701433,2.4293392052407237,0.7131709967534274,3.4063909164840114,22.49057091858924,6.602463272713111
0.405,1500.0,0.006,2,0.1124561864755447,2.4459669697490853,0.6981701160018842,3.5033968279193495,21.75039939026385,6.208374460161085
0.405,1500.0,0.006,3,0.10137707174289762,2.448826537240174,0.6900665335684077,3.5486817837361717,24.155625085035428,6.806929039324448
0.405,1500.0,0.006,4,0.09857577197202019,2.472476523939641,0.6691606667052744,3.6948921939977386,25.081989970531808,6.788287358228444
0.405,2000.0,0.0045000000000000005,0,0.09506491499976569,2.3930813028524054,0.7473331812031365,3.2021611819774525,25.1731283077285,7.861293319464689
0.405,2000.0,0.0045000000000000005,1,0.10929117229486882,2.3768395225806835,0.7645697626834469,3.1087281221252807,21.74777223697394,6.99571380404475
