time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz
0.0,0.0,7.524748069894826,6.731181685441917,7.715189019269571
0.001,0.0,7.525517941918199,6.731710007436418,7.716021445499856
0.002,0.0,7.527705431665985,6.733195087544039,7.718361737189567
0.003,0.0,7.53127842707183,6.735626037145364,7.722193854623905
0.004,0.0,7.536223176136139,6.738985092274588,7.727491619659469
0.005,0.0,7.54249972312576,6.743247829801011,7.734219019060853
0.006,0.0,7.550072190334108,6.7483834631539805,7.742330619715321
0.007,0.0,7.558886429709118,6.754355212582248,7.751772088946574
0.008,0.0,7.568883707573465,6.761120743718728,7.762480811490777
0.009000000000000001,0.0,7.580006264655411,6.76863266713718,7.774386593217019
0.01,0.0,7.592175095332316,6.77683909065821,7.787412440400216
0.011000000000000001,0.0,7.605318711077957,6.785684215408686,7.801475402310714
0.012,0.0,7.619343631648239,6.7951089660727755,7.816487464089429
0.013000000000000001,0.0,7.6341767361579445,6.8050516454035215,7.832356476342931
0.014,0.0,7.649726680753386,6.815448602895654,7.8489871076243025
0.015000000000000001,0.0,7.665899067362027,6.826234907550635,7.866281805962326
0.016,0.0,7.682601580423752,6.837345014888748,7.88414175585687
0.017,0.0,7.699750927245668,6.848713418769829,7.902467817658619
0.018000000000000002,0.0,7.717246448088564,6.860275279158729,7.92116143697893
0.019,0.0,7.734998321117833,6.8719670176967025,7.940125512707421
0.02,0.0,7.7529136887792545,6.883726873793832,7.959265213323507
0.021,0.0,7.770910693379472,6.8954954149170025,7.97848873244449
0.022000000000000002,0.0,7.788909786167105,6.907215995788424,7.99770797592298
0.023,0.0,7.806818782348193,6.918835162304568,8.016839174258994
0.024,0.0,7.824568213295983,6.930302997109351,8.035803415590687
0.025,0.0,7.842092400911825,6.941573404882433,8.054527096040662
0.026000000000000002,0.0,7.859318141853612,6.952604336509847,8.07294228568891
0.027,0.0,7.8761873171470995,6.963357952366473,8.090987009889082
0.028,0.0,7.892641697024147,6.9738007259387205,8.108605447014572
0.029,0.0,7.908632906165619,6.983903489932741,8.125748044990384
0.030000000000000002,0.0,7.92411082388917,6.99364142783447,8.142371560116437
0.031,0.0,7.939038308842479,7.002994014600587,8.158439022700415
0.032,0.0,7.953388092246694,7.011944910756601,8.173919634882767
0.033,0.0,7.967119880362738,7.020481814654148,8.188788606743294
0.034,0.0,7.98022105605839,7.0285962779925795,8.203026937326442
0.035,0.0,7.9926686755325145,7.036283489941432,8.216621147608262
0.036000000000000004,0.0,8.004460221172998,7.043542035314359,8.229562972659034
0.037000000000000005,0.0,8.015571884630171,7.050373632247657,8.24184902033601
0.038,0.0,8.025999630785778,7.0567828547367135,8.25348040378245
0.039,0.0,8.035745068385468,7.062776845192024,8.264462354823857
0.04,0.0,8.044813424479335,7.068365021903034,8.274803825054226
0.041,0.0,8.053217657938408,7.073558785958092,8.284517081010044
0.042,0.0,8.06096321077746,7.078371231772526,8.293617299354043
0.043000000000000003,0.0,8.068052244384711,7.082816864939559,8.302122167451728
0.044000000000000004,0.0,8.074505348078171,7.086911330652336,8.310051494136982
0.045000000000000005,0.0,8.080348297105642,7.090671155462513,8.317426834846742
0.046,0.0,8.085589122817545,7.094113504653696,8.324271134672374
0.047,0.0,8.0902533155139,7.097255957026181,8.330608392242878
0.048,0.0,8.094358842264718,7.100116298423503,8.336463346734003
0.049,0.0,8.09793297311961,7.102712334888871,8.341861189699879
0.05,0.0,8.101005692900205,7.10506172592685,8.34682730285923
0.051000000000000004,0.0,8.103587446261946,7.107181837969444,8.351387022444364
0.052000000000000005,0.0,8.10571452438268,7.109089617808332,8.355565430244088
0.053000000000000005,0.0,8.107413724679173,7.110801485460222,8.35938717104598
0.054,0.0,8.108709732727926,7.11233324568061,8.362876295811446
0.055,0.0,8.109631736778914,7.113700017133954,8.366056129600391
0.056,0.0,8.110201750398353,7.114916178062755,8.368949163000352
0.057,0.0,8.110448194069312,7.115995327174726,8.371576965606714
0.058,0.0,8.11039972548103,7.116950258381607,8.373960119943519
0.059000000000000004,0.0,8.110077486630555,7.117792947973861,8.376118174105136
0.060000000000000005,0.0,8.109514848609814,7.118534552797778,8.378069611333505
0.061000000000000006,0.0,8.108734043359174,7.119185418012649,8.379831834720957
0.062,0.0,8.107756981775252,7.119755093042143,8.381421165237956
0.063,0.0,8.106608476041647,7.120252354393399,8.382852851329876
0.064,0.0,8.105315685107245,7.120685234099712,8.384141088400487
0.065,0.0,8.103904753846624,7.121061052651946,8.385299046611923
0.066,0.0,8.10238825662394,7.121386455432732,8.386338905588607
0.067,0.0,8.100795617406202,7.1216674518794285,8.387271894844138
0.068,0.0,8.09914245247806,7.121909456919098,8.388108339096528
0.069,0.0,8.097453877211436,7.122117334695982,8.388857708156287
0.07,0.0,8.095737955096896,7.122295445293901,8.3895286718078
0.07100000000000001,0.0,8.09401567015242,7.122447695991797,8.390129160999063
0.07200000000000001,0.0,8.092305810974239,7.122577599236985,8.390666437337353
0.07300000000000001,0.0,8.090619677565634,7.1226883389780165,8.391147172292836
0.07400000000000001,0.0,8.08897185978463,7.12278284317597,8.391577533419815
0.075,0.0,8.087379410001185,7.122863850168561,8.391963264118576
0.076,0.0,8.085851753117128,7.122933938774653,8.392309724657084
0.077,0.0,8.084398349424847,7.122995475727587,8.392621845190199
0.078,0.0,8.083034346776508,7.1230504536806505,8.392903963067607
0.079,0.0,8.081759550756864,7.123100302710932,8.393159633964723
0.08,0.0,8.080577634563488,7.123145909197239,8.393391666194203
0.081,0.0,8.079498945722111,7.123183482670293,8.393597504171298
0.082,0.0,8.078522138891042,7.123210252208385,8.39377559517639
0.083,0.0,8.077641508986074,7.123228285278009,8.393929659418188
0.084,0.0,8.076868586431662,7.123239654203879,8.39406329418579
0.085,0.0,8.076202128331026,7.123246345638982,8.394179889067948
0.08600000000000001,0.0,8.075648770881049,7.1232500273041826,8.394282385689918
0.08700000000000001,0.0,8.075211182346395,7.123251923237176,8.394373150891917
0.08800000000000001,0.0,8.074881918990778,7.123252835548689,8.394454005572872
0.08900000000000001,0.0,8.074664477324585,7.123253242738423,8.39452633555197
0.09000000000000001,0.0,8.074552265313205,7.123253408168496,8.394591213772514
0.091,0.0,8.074541399562897,7.123253466536946,8.394649499300924
0.092,0.0,8.074629433858737,7.123253481912432,8.394701905939
0.093,0.0,8.074819624398108,7.123253482426656,8.394749045649903
0.094,0.0,8.075100952455598,7.1232534792366655,8.394791454785464
0.095,0.0,8.075464472292849,7.1232534761138675,8.394829609842116
0.096,0.0,8.07591461075464,7.123253473939183,8.394863937304804
0.097,0.0,8.076430327800216,7.123253472639998,8.3948948203032
0.098,0.0,8.077019467509805,7.123253471937642,8.394922603570064
0.099,0.0,8.077670342895484,7.123253471587404,8.394947597462773
0.1,0.0,8.07838947629436,7.123253471425765,8.394970081417185
0.101,0.0,8.079158574251275,7.123253471357389,8.394990307007362
0.10200000000000001,0.0,8.079979247904383,7.123253471331683,8.395008500694363
0.10300000000000001,0.0,8.080842504742746,7.123253471323829,8.395024866307976
0.10400000000000001,0.0,8.081744568981346,7.123253471322578,8.395039587289547
0.10500000000000001,0.0,8.0826810426121,7.123253471323283,8.395052828717883
0.10600000000000001,0.0,8.083647303472977,7.123253471324236,8.395064739137691
0.10700000000000001,0.0,8.084646268665997,7.123253471324969,8.395075452208497
0.108,0.0,8.085670764180783,7.123253471325428,8.395085088190907
0.109,0.0,8.086709355096664,7.123253471325687,8.395093755285542
0.11,0.0,8.087766520436151,7.1232534713258175,8.395101550839165
0.111,0.0,8.088838661313607,7.12325347132588,8.39510856243067
0.112,0.0,8.089912134555755,7.123253471325904,8.395114868848973
0.113,0.0,8.09099463305056,7.123253471325916,8.395120540973398
0.114,0.0,8.092085126123722,7.123253471325918,8.395125642566228
0.115,0.0,8.093174947710407,7.123253471325927,8.39513023098602
0.116,0.0,8.094264556755318,7.123253471325928,8.395134357829718
0.117,0.0,8.095352372022337,7.123253471325929,8.395138069510564
0.11800000000000001,0.0,8.096430140013238,7.123253471325926,8.39514140777813
0.11900000000000001,0.0,8.097497477490085,7.123253471325922,8.395144410186381
0.12000000000000001,0.0,8.09855066220737,7.123253471325919,8.395147110514786
0.12100000000000001,0.0,8.099587459663102,7.123253471325929,8.395149539147347
0.12200000000000001,0.0,8.100601264462654,7.123253471325923,8.39515172341348
0.12300000000000001,0.0,8.10158940401192,7.123253471325929,8.395153687894938
0.124,0.0,8.102561629111564,7.123253471325926,8.39515545470173
0.125,0.0,8.103500030062529,7.123253471325928,8.395157043720548
0.126,0.0,8.104399539652047,7.123253471325924,8.395158472838125
0.127,0.0,8.10527057587334,7.1232534713259295,8.395159758142302
0.128,0.0,8.106093775174262,7.123253471325931,8.395160914102776
0.129,0.0,8.106873396944154,7.123253471325929,8.395161953733803
0.13,0.0,8.107599654836742,7.123253471325931,8.39516288874052
0.131,0.0,8.108278622077917,7.123253471325934,8.395163729650566
0.132,0.0,8.108898786247787,7.123253471325931,8.395164485932487
0.133,0.0,8.109459380428925,7.123253471325932,8.395165166102236
0.134,0.0,8.109949359156808,7.1232534713259374,8.395165777818995
0.135,0.0,8.11037441185641,7.123253471325937,8.395166327971332
0.136,0.0,8.11072279786718,7.123253471325936,8.395166822754693
0.137,0.0,8.110987390886578,7.123253471325936,8.395167267741144
0.138,0.0,8.111187562148588,7.123253471325939,8.395167667942118
0.139,0.0,8.111308854940232,7.123253471325941,8.39516802786472
0.14,0.0,8.111350046980723,7.123253471325935,8.395168351562543
0.14100000000000001,0.0,8.111310370508736,7.123253471325939,8.395168642681284
0.14200000000000002,0.0,8.111193565335071,7.123253471325943,8.395168904499748
0.14300000000000002,0.0,8.11099024309151,7.123253471325941,8.395169139966788
0.14400000000000002,0.0,8.110709673183663,7.123253471325941,8.395169351734515
0.14500000000000002,0.0,8.110353462485062,7.123253471325943,8.395169542188109
0.14600000000000002,0.0,8.109921103849247,7.12325347132594,8.395169713472752
0.14700000000000002,0.0,8.109420206667185,7.123253471325942,8.395169867517703
0.14800000000000002,0.0,8.108852912987148,7.12325347132594,8.395170006058084
0.149,0.0,8.108224747926167,7.1232534713259446,8.395170130654382
0.15,0.0,8.107548809082282,7.1232534713259446,8.395170242710021
0.151,0.0,8.106825977086727,7.123253471325949,8.39517034348721
0.152,0.0,8.106064846488032,7.123253471325944,8.395170434121093
0.153,0.0,8.105275908869947,7.123253471325949,8.395170515632582
0.154,0.0,8.104466460216376,7.123253471325951,8.395170588939854
0.155,0.0,8.103649795890624,7.123253471325951,8.395170654868654
0.156,0.0,8.102829597017745,7.1232534713259525,8.395170714161605
0.157,0.0,8.102027038082644,7.1232534713259525,8.395170767486627
0.158,0.0,8.101251374687326,7.123253471325956,8.395170815444397
0.159,0.0,8.100505108718368,7.123253471325955,8.39517085857511
0.16,0.0,8.099808465913819,7.123253471325954,8.395170897364633
0.161,0.0,8.099174357321093,7.123253471325959,8.395170932249908
0.162,0.0,8.098605627262277,7.123253471325957,8.395170963623897
0.163,0.0,8.098133808349804,7.12325347132596,8.395170991840018
0.164,0.0,8.097748233100749,7.1232534713259605,8.395171017216125
0.165,0.0,8.09746761361946,7.123253471325959,8.395171040038061
0.166,0.0,8.097301392377567,7.12325347132596,8.3951710605629
0.167,0.0,8.097261421832869,7.123253471325961,8.395171079021873
0.168,0.0,8.097352749989716,7.123253471325963,8.395171095622889
0.169,0.0,8.097586900195001,7.123253471325968,8.395171110552972
