Model,baseline_hz,peak_hz,peak_latency_s,late_rate_hz,integrated_excess_spikes,bias_hz,rmse_hz,crmse_hz,mc_std_hz,nrmse,centered_nrmse,mc_mean_hz,closure_mean_hz
MC,8.149204115098726,8.69144902256792,0.06700000000000017,8.159529380340778,0.1111870155748383,,,,,,,,
mean_only,7.123253471325728,7.646136114790565,0.050899999999999945,7.139615150202107,0.1452268309720239,-1.018962149214293,1.019801161078678,0.04135875488948042,0.08761237421957459,11.639921531207989,0.4720652220407461,8.171758176570014,7.152796027355722
variance_corrected,8.39517124395398,9.002063664681666,0.05069999999999997,8.414245008663979,0.16870991226772422,0.2577357163834536,0.2609913156894243,0.04109461480053954,0.08761237421957459,2.9789321201971597,0.46905035009721346,8.171758176570014,8.429493892953467
