J,g,Seed,N,Duration_s,MC_runtime_s,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
0.0,0.0,7,5000,10.0,15.568846759997541,0.999998415397802,0.999998415397802,1.5846021980125968e-06,1.8537717718982843e-06,1.584602197178601e-06,9.593392014998244,2.0,True,0.001,0.0001,2.0,0.26875272108441195,0.28455963050818045,0.09352089726192993,0.09960207711732157,2.856964821858051,0.9389452506273679,8.125575000000001,8.394327721084412
0.0,0.0,11,5000,10.0,15.219135073999496,0.9999984154747259,0.9999984154747259,1.584525274100912e-06,1.8354318247931416e-06,1.5845252703404414e-06,9.476563134998287,2.0,True,0.001,0.0001,2.0,0.2612812908202397,0.27455331296800256,0.0843303547307568,0.10240845226431841,2.6809634058268412,0.8234706497965455,8.1337,8.39498129082024
0.0,0.0,13,5000,10.0,15.21784476600078,0.9999984171515054,0.9999984171515054,1.5828484946078802e-06,1.8469772334368754e-06,1.5828484925479639e-06,9.482289634001063,2.0,True,0.001,0.0001,2.0,0.2764242234537465,0.29394408158338337,0.09996385239621365,0.11021491775010472,2.667008129061586,0.9069902190814697,8.118825000000001,8.395249223453748
0.0001,0.01606,7,5000,10.0,15.094180790998507,0.9999984336722182,0.9999984336722182,1.5663277818100951e-06,1.8384486883704605e-06,1.566327781020618e-06,9.61700959999871,2.0,True,0.001,0.0001,2.0,0.26914250610873663,0.28538671464113324,0.09490989568621525,0.10124279801515734,2.8188347244058507,0.9374483671619389,8.130525000000002,8.399667506108738
0.0001,0.01606,11,5000,10.0,14.56342064799901,0.999998433773892,0.999998433773892,1.5662261080295892e-06,1.8199471185907597e-06,1.5662261088670119e-06,8.603415688001405,2.0,True,0.001,0.0001,2.0,0.2620059413776943,0.27554342675717597,0.08530572496541712,0.10401008560490681,2.649199115207505,0.820167818046606,8.138325000000004,8.400330941377696
0.0001,0.01606,13,5000,10.0,14.779397490001429,0.9999984353901566,0.9999984353901566,1.5646098433519384e-06,1.83146364375045e-06,1.5646098407718176e-06,9.227042928003357,2.0,True,0.001,0.0001,2.0,0.27703783501793816,0.2946954999330498,0.10047624420410928,0.11084013350316231,2.6587436393212394,0.9064969612405118,8.123575,8.400612835017942
0.0002,0.03212,7,5000,10.0,15.145988248001231,0.9999984517363594,0.9999984517363594,1.5482636406272121e-06,1.8232460763050833e-06,1.548263638445692e-06,9.361339784001757,2.0,True,0.001,0.0001,2.0,0.26964283003820216,0.28650354880302065,0.09683505401306934,0.10295293241799215,2.782859526912815,0.9405759674713875,8.135375000000002,8.405017830038203
0.0002,0.03212,11,5000,10.0,15.100341960998776,0.9999984518635504,0.9999984518635504,1.5481364495917305e-06,1.8045648332558786e-06,1.5481364480095729e-06,9.274575441999332,2.0,True,0.001,0.0001,2.0,0.2623420131114694,0.27636636640520684,0.08691971373997222,0.10599906958079053,2.607252757011848,0.8200044970557371,8.143350000000002,8.405692013111471
0.0002,0.03212,13,5000,10.0,15.172679267001513,0.9999984534181294,0.9999984534181294,1.5465818705706624e-06,1.816049072367051e-06,1.5465818694925153e-06,9.38287264599785,2.0,True,0.001,0.0001,2.0,0.27666342779759734,0.2948917980679008,0.10207115306002565,0.11262595337924679,2.6183289838613657,0.9062844752693917,8.129325000000001,8.405988427797599
0.0005,0.0803,7,5000,10.0,15.154559441001766,0.9999985046928619,0.9999985046928619,1.4953071381107463e-06,1.7783606720331144e-06,1.4953071361644273e-06,9.29109410500314,2.0,True,0.001,0.0001,2.0,0.2704082028006605,0.28931839739810533,0.10288118842200872,0.10964418021347025,2.6387027276306028,0.9383187344891957,8.150725000000003,8.421133202800661
0.0005,0.0803,11,5000,10.0,14.840381499001523,0.9999985049025656,0.9999985049025656,1.4950974344118961e-06,1.759017377178306e-06,1.4950974327613878e-06,9.203468081999745,2.0,True,0.001,0.0001,2.0,0.26387076320792247,0.27970052442037235,0.09276100304060884,0.11323420501281381,2.4701063109748587,0.8191959578831487,8.157975000000002,8.421845763207925
0.0005,0.0803,13,5000,10.0,14.936828876998334,0.9999985062629124,0.9999985062629124,1.4937370875767186e-06,1.7703834080218583e-06,1.4937370842650896e-06,9.214261771998281,2.0,True,0.001,0.0001,2.0,0.27751391719494806,0.29745028293469233,0.10706398358478922,0.11848416070403603,2.5104645310160856,0.9036143139185203,8.144675000000001,8.422188917194948
0.001,0.1606,7,5000,10.0,15.084422238000116,0.9999985889801277,0.9999985889801277,1.4110198722772083e-06,1.705959415433874e-06,1.4110198694363813e-06,9.233359033998568,2.0,True,0.001,0.0001,2.0,0.2712169755689974,0.29420205581150916,0.1140008851146526,0.12273876221055852,2.3969775359703003,0.928809147668313,8.177000000000001,8.448216975568998
0.001,0.1606,11,5000,10.0,14.949154371999612,0.9999985893586018,0.9999985893586018,1.4106413982473143e-06,1.6850130283291602e-06,1.4106413965574702e-06,9.374729945997387,2.0,True,0.001,0.0001,2.0,0.26466995889562633,0.2837480163804755,0.10228758310783415,0.12554302468496067,2.2601655256635445,0.8147611813919249,8.184350000000002,8.449019958895628
0.001,0.1606,13,5000,10.0,15.122608915000455,0.9999985903475155,0.9999985903475155,1.409652484518631e-06,1.6960804897969807e-06,1.4096524820520424e-06,9.471260648002499,2.0,True,0.001,0.0001,2.0,0.2784728942157158,0.3019625995892302,0.1167658286392408,0.13072080030529365,2.309981264527203,0.8932459743708613,8.170975,8.449447894215718
0.002,0.3212,7,5000,10.0,15.545525982997788,0.9999987436248978,0.9999987436248978,1.2563751021765768e-06,1.7350300786933528e-06,1.2563750999131885e-06,9.610782897998433,2.0,True,0.001,0.0001,2.0,0.27374228378822085,0.31023803821596163,0.1459890489814138,0.15928854332676265,1.9476481593503117,0.9165068995698804,8.229675,8.503417283788222
0.002,0.3212,11,5000,10.0,15.234873440000229,0.9999987446716857,0.9999987446716857,1.2553283142979765e-06,1.7060484875906402e-06,1.255328310336554e-06,9.507955154997035,2.0,True,0.001,0.0001,2.0,0.26950815214561313,0.2991328977333589,0.12979154993069933,0.16455488573313512,1.8178305457212254,0.7887432169056785,8.235050000000001,8.504558152145615
0.002,0.3212,13,5000,10.0,15.432484041997668,0.9999987444409338,0.9999987444409338,1.255559066160039e-06,1.651957776937997e-06,1.2555590635018422e-06,9.29072930500115,2.0,True,0.001,0.0001,2.0,0.28009649999674335,0.31560738670647936,0.14544405533835894,0.16359627385715167,1.9291844445189512,0.8890425919196496,8.22495,8.505046499996743
