Closure,Seed,N,Duration_s,MC_runtime_s,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,bias_hz_20ms,rmse_hz_20ms,crmse_hz_20ms,mc_std_hz_20ms,nrmse_20ms,centered_nrmse_20ms,mc_mean_hz_20ms,closure_mean_hz_20ms,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
adaptation_neglecting,0,5000,20.0,30.410031105999224,0.9999441089307531,0.9999441089307531,5.58910692468606e-05,1.8387700628042974e-05,5.589106924367983e-05,18.219905641999503,0.0,False,0.001,0.0001,2.0,-1.0358846895378528,1.0481905622614311,0.16014482444025896,0.1682951324665261,6.22828804909088,0.9515713383577018,8.134653333333333,7.09876864379548,-1.0358846895378535,1.041954235280525,0.11230110596111295,0.11017362747088523,9.457383397454846,1.0193102336654019,8.134653333333334,7.09876864379548
mean_only,0,5000,20.0,30.410031105999224,0.99994657998833,0.99994657998833,5.3420011669969014e-05,1.5907373569802434e-05,5.342001166472908e-05,18.178379261000373,2.0,False,0.001,0.0001,2.0,-1.0118052733526746,1.0225766341655385,0.14803061020289304,0.1682951324665261,6.076091561168169,0.8795893739371001,8.134653333333333,7.122848059980658,-1.0118052733526752,1.0163053323615525,0.09553333136787336,0.11017362747088523,9.224579018514426,0.8671161471298496,8.134653333333334,7.12284805998066
variance_corrected,0,5000,20.0,30.410031105999224,0.9999964615884515,0.9999964615884515,3.5384115485426193e-06,1.842159842758348e-06,3.53841154511012e-06,18.71516400100154,2.0,True,0.001,0.0001,2.0,0.26027734663584456,0.2991526721457866,0.1474721128897559,0.1682951324665261,1.777547976352127,0.8762708150165192,8.134653333333333,8.394930679969177,0.2602773466358442,0.2771586661373866,0.09525034930781064,0.11017362747088523,2.515653450828142,0.8645476371646358,8.134653333333334,8.394930679969178
adaptation_neglecting,1,5000,20.0,29.255513981999684,0.9999460753302051,0.9999460753302051,5.392466979492472e-05,1.6651322143293348e-05,5.392466979155525e-05,18.174208817999897,0.0,False,0.001,0.0001,2.0,-1.0284313483811898,1.0398020258826697,0.15335323503777715,0.16712955707531216,6.221532828056934,0.9175710013320558,8.146693333333333,7.118261984952143,-1.0284313483811904,1.0334074429143114,0.10129118785729704,0.11039435679862786,9.361053163246078,0.9175395445445091,8.146693333333335,7.118261984952145
mean_only,1,5000,20.0,29.255513981999684,0.9999466228614065,0.9999466228614065,5.337713859354665e-05,1.6112705761312863e-05,5.337713858886128e-05,18.190430006998213,2.0,False,0.001,0.0001,2.0,-1.0230845021406465,1.0331768969750676,0.14405763403116076,0.16712955707531216,6.181892150348343,0.8619518686706343,8.146693333333333,7.123608831192688,-1.0230845021406467,1.026966197339607,0.08920578432925397,0.11039435679862786,9.302705565040002,0.8080647137785828,8.146693333333335,7.123608831192688
variance_corrected,1,5000,20.0,29.255513981999684,0.9999964649874294,0.9999964649874294,3.535012570554663e-06,1.8464203839968622e-06,3.5350125644587754e-06,18.73240693000116,2.0,True,0.001,0.0001,2.0,0.24911810234656873,0.2873378733377164,0.1431894707633423,0.16712955707531216,1.719252287662294,0.8567573161150547,8.146693333333333,8.395811435679901,0.24911810234656834,0.2641888091004233,0.08795395350491426,0.11039435679862786,2.3931369026619214,0.7967250868208101,8.146693333333335,8.395811435679903
adaptation_neglecting,2,5000,20.0,29.24392559699845,0.9999482297613401,0.9999482297613401,5.177023865987618e-05,1.6822360784845964e-05,5.177023865660162e-05,17.952865280996775,0.0,False,0.001,0.0001,2.0,-1.0110090269000092,1.0228877303837625,0.155435055558074,0.16203332520240393,6.312823174529204,0.9592783173702835,8.143080000000001,7.1320709730999905,-1.0110090269000098,1.015744273026036,0.09796517601620254,0.10434378741731547,9.734592716705212,0.9388692747407938,8.14308,7.132070973099993
mean_only,2,5000,20.0,29.24392559699845,0.9999466811821497,0.9999466811821497,5.3318817850311895e-05,1.6044707980785218e-05,5.331881784557554e-05,18.12636866199682,2.0,False,0.001,0.0001,2.0,-1.0204301142259853,1.0313286764235896,0.14953668711850004,0.16203332520240393,6.3649170634207834,0.9228761239807076,8.143080000000001,7.122649885774016,-1.020430114225986,1.0245744676903428,0.09206096797063686,0.10434378741731547,9.8192186909282,0.8822850909412138,8.14308,7.122649885774016
variance_corrected,2,5000,20.0,29.24392559699845,0.9999964695364686,0.9999964695364686,3.530463531409289e-06,1.8695470186668423e-06,3.5304635260905215e-06,18.37514325200027,2.0,True,0.001,0.0001,2.0,0.2516198896930541,0.2930537444767687,0.15022625690174993,0.16203332520240393,1.8086016818497095,0.9271318521303861,8.143080000000001,8.394699889693054,0.25161988969305366,0.26803640987372324,0.09236313187008151,0.10434378741731547,2.568781683203916,0.8851809403916097,8.14308,8.394699889693054
adaptation_neglecting,3,5000,20.0,29.323876605001715,0.9999475268127879,0.9999475268127879,5.247318721213201e-05,1.6401351023301732e-05,5.247318720749199e-05,18.06137509200198,0.0,False,0.001,0.0001,2.0,-0.9996368731664599,1.012201207787968,0.1589887003953555,0.16469471891594165,6.145923891491532,0.9653539678858893,8.125266666666667,7.125629793500207,-0.9996368731664607,1.0055583419882397,0.10896651296668443,0.10844777087058421,9.272282260077244,1.004783335719452,8.125266666666667,7.125629793500208
