J,g,nrmse_mean,nrmse_std,bias_mean_hz,mass_error_max,tail_mass_max
0.0,0.0,2.7349787855821592,0.10587318934520709,0.2688194117861327,1.5846021980125968e-06,1.8537717718982843e-06
0.0001,0.01606,2.708925826311532,0.09530345689097516,0.26939542750145634,1.5663277818100951e-06,1.8384486883704605e-06
0.0002,0.03212,2.6694804225953432,0.09834524224475565,0.2695494236490896,1.5482636406272121e-06,1.8232460763050833e-06
0.0005,0.0803,2.5397578565405157,0.0880327332161138,0.27059762773451035,1.4953071381107463e-06,1.7783606720331144e-06
0.001,0.1606,2.322374775387016,0.06924291208938411,0.27145327622677984,1.4110198722772083e-06,1.705959415433874e-06
0.002,0.3212,1.898221049863496,0.07022963803501896,0.2744489786435258,1.2563751021765768e-06,1.7350300786933528e-06
