N,Closure,Seed,Duration_s,MC_runtime_s,bias_hz_20ms,rmse_hz_20ms,crmse_hz_20ms,mc_std_hz_20ms,nrmse_20ms,centered_nrmse_20ms,mc_mean_hz_20ms,closure_mean_hz_20ms,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
1000,adaptation_neglecting,0,15.0,5.438942061999114,-0.9919725562595195,1.039808881709755,0.31175785172220716,0.30782143308135357,3.3779612787227387,1.012787994004996,8.110249999999999,7.118277443740479,-0.9919725562595195,1.010330788006619,0.1917257124697429,0.18276330396771312,5.528083406640009,1.049038337059244,8.11025,7.118277443740481
1000,mean_only,0,15.0,5.438942061999114,-0.9855193575962521,1.0319124436253062,0.3059328147025442,0.30782143308135357,3.3523086202791603,0.9938645650502502,8.110249999999999,7.1247306424037475,-0.9855193575962519,1.0028620445417276,0.18569834728797438,0.18276330396771312,5.487217744317496,1.016059259471364,8.11025,7.1247306424037475
1000,variance_corrected,0,15.0,5.438942061999114,0.28678452985730946,0.4201223866103928,0.3070137670622187,0.30782143308135357,1.3648249974177706,0.9973761865408463,8.110249999999999,8.39703452985731,0.28678452985730984,0.3425689410641433,0.1873715902060134,0.18276330396771312,1.8743857964214818,1.0252145049813413,8.11025,8.397034529857311
2000,adaptation_neglecting,0,15.0,9.103225497001404,-0.9866808895928533,1.0148472690359,0.23743588941413254,0.23687487256735734,4.284317952497557,1.0023684101259651,8.104958333333334,7.118277443740479,-0.9866808895928532,0.9993066938877792,0.15834989915115108,0.15818734258166844,6.31723548533512,1.0010276205847426,8.104958333333336,7.118277443740481
2000,mean_only,0,15.0,9.103225497001404,-0.9802276909295857,1.0074657644681353,0.23268205884901524,0.23687487256735734,4.253155911172698,0.9822994576296824,8.104958333333334,7.1247306424037475,-0.9802276909295855,0.9919051630154113,0.15175482315723074,0.15818734258166844,6.270445832309964,0.9593360674788709,8.104958333333336,7.1247306424037475
2000,variance_corrected,0,15.0,9.103225497001404,0.2920761965239757,0.3741692784886722,0.2338677925427556,0.23687487256735734,1.5796073025106285,0.9873051962328903,8.104958333333334,8.39703452985731,0.29207619652397615,0.3293560744745281,0.15220683038996163,0.15818734258166844,2.0820633882542734,0.9621934846739131,8.104958333333336,8.397034529857311
4000,adaptation_neglecting,0,15.0,16.81605091000165,-1.0099933895928537,1.0274476491638982,0.18857896158150567,0.19114545736141852,5.375213532912772,0.9865730746869903,8.128270833333334,7.118277443740479,-1.0099933895928541,1.0189464065434766,0.13477808570610128,0.12772332603989112,7.977762857704119,1.0552347005433196,8.128270833333337,7.118277443740481
4000,mean_only,0,15.0,16.81605091000165,-1.0035401909295858,1.017945911138382,0.17064865423542053,0.19114545736141852,5.325504069990249,0.8927685574695998,8.128270833333334,7.1247306424037475,-1.0035401909295867,1.009651037788726,0.1109157486422035,0.12772332603989112,7.904985479891021,0.8684063599123765,8.128270833333337,7.1247306424037475
4000,variance_corrected,0,15.0,16.81605091000165,0.26876369652397536,0.31783870491330035,0.16966884738139903,0.19114545736141852,1.662810664196585,0.8876425823742625,8.128270833333334,8.39703452985731,0.26876369652397525,0.29041872073752106,0.11004139578170952,0.12772332603989112,2.2738111333462787,0.8615606811502928,8.128270833333337,8.397034529857311
8000,adaptation_neglecting,0,15.0,34.26829446099873,-1.0170767229261874,1.025316875924808,0.12972908593656243,0.12797480479380569,8.011865129052621,1.0137080196807744,8.135354166666668,7.118277443740479,-1.0170767229261863,1.0207307434527564,0.08629131075228169,0.08174138930476625,12.487318262319267,1.0556623943661076,8.135354166666668,7.118277443740481
8000,mean_only,0,15.0,34.26829446099873,-1.0106235242629198,1.0171838938412296,0.11533935189865248,0.12797480479380569,7.9483136972166255,0.9012660897157719,8.135354166666668,7.1247306424037475,-1.010623524262919,1.0129504766202562,0.06862040725324946,0.08174138930476625,12.392136777166229,0.8394817831809017,8.135354166666668,7.1247306424037475
8000,variance_corrected,0,15.0,34.26829446099873,0.2616803631906417,0.2866117538567008,0.11691742799611991,0.12797480479380569,2.239595163426837,0.9135972364599303,8.135354166666668,8.39703452985731,0.26168036319064303,0.27078467181151483,0.06962561316414345,0.08174138930476625,3.31269965086984,0.8517791752296979,8.135354166666668,8.397034529857311
16000,adaptation_neglecting,0,15.0,68.33879139599958,-1.0115506812595205,1.0165268819776867,0.10045954920602686,0.11146259740009537,9.119892283945799,0.901284839482315,8.129828125000003,7.118277443740479,-1.011550681259519,1.0143386781025068,0.07515432880509369,0.07698241539403204,13.176238663214795,0.9762531926339106,8.129828125,7.118277443740481
16000,mean_only,0,15.0,68.33879139599958,-1.0050974825962529,1.0084127357584147,0.08170248538720074,0.11146259740009537,9.047095252398558,0.7330036020417628,8.129828125000003,7.1247306424037475,-1.0050974825962515,1.0064262538624287,0.05169966094897847,0.07698241539403204,13.073456434317732,0.671577537342202,8.129828125,7.1247306424037475
16000,variance_corrected,0,15.0,68.33879139599958,0.2672064048573086,0.279310646763674,0.08133372362540604,0.11146259740009537,2.5058688141017162,0.7296952118696676,8.129828125000003,8.39703452985731,0.2672064048573102,0.2720353461948636,0.051029077814423875,0.07698241539403204,3.5337335780185555,0.6628666761523806,8.129828125,8.397034529857311
1000,adaptation_neglecting,1,15.0,5.196723457996995,-0.996646819324521,1.0509127210564477,0.3333356638713927,0.34042650104786176,3.0870473298102494,0.9791707250914871,8.108083333333333,7.111436514008813,-0.996646819324521,1.0191703943900505,0.2130807601157048,0.2150786793394977,4.738593325567659,0.9907107518517015,8.108083333333335,7.111436514008814
1000,mean_only,1,15.0,5.196723457996995,-0.9847175001545927,1.0378386185445483,0.32778109010701983,0.34042650104786176,3.048642263014168,0.9628542111089522,8.108083333333333,7.12336583317874,-0.9847175001545926,1.0059032174592837,0.2053599955790542,0.2150786793394977,4.676908099623785,0.9548133557901258,8.108083333333335,7.123365833178742
1000,variance_corrected,1,15.0,5.196723457996995,0.2873671260744628,0.4354337322413074,0.32714319498546557,0.34042650104786176,1.2790829471295722,0.960980399523806,8.108083333333333,8.395450459407797,0.28736712607446313,0.35295125865279725,0.2049261472733467,0.2150786793394977,1.6410332243842276,0.9527961948746886,8.108083333333335,8.395450459407797
2000,adaptation_neglecting,1,15.0,9.343157082003017,-0.9728551526578548,1.0089647489786355,0.26751208688315914,0.2732245906958671,3.6928035884652077,0.9790922779016379,8.084291666666667,7.111436514008813,-0.9728551526578545,0.988488329989427,0.17510576938624509,0.17667688323711972,5.594893411509685,0.991107416985809,8.084291666666667,7.111436514008814
2000,mean_only,1,15.0,9.343157082003017,-0.9609258334879262,0.9956238099040121,0.26055385889162064,0.2732245906958671,3.6439758492026257,0.953625214436315,8.084291666666667,7.12336583317874,-0.9609258334879259,0.9752555976365361,0.16656837411985534,0.17667688323711972,5.519995484228892,0.9427853325683946,8.084291666666667,7.123365833178742
2000,variance_corrected,1,15.0,9.343157082003017,0.31115879274112923,0.40564384676124204,0.26024437768209524,0.2732245906958671,1.4846535069486995,0.9524925154770552,8.084291666666667,8.395450459407797,0.31115879274112945,0.3528149910697841,0.1663088200410748,0.17667688323711972,1.996950504250563,0.9413162434944596,8.084291666666667,8.395450459407797
4000,adaptation_neglecting,1,15.0,18.247158345999196,-1.009521819324522,1.025402645063343,0.179767296276624,0.1769470379308554,5.794969257773244,1.0159384320797202,8.120958333333334,7.111436514008813,-1.0095218193245226,1.016855311003797,0.12190332162962117,0.11470805259069738,8.864724734122651,1.062726799700785,8.120958333333334,7.111436514008814
4000,mean_only,1,15.0,18.247158345999196,-0.9975925001545932,1.011666740645655,0.16816300949944585,0.1769470379308554,5.717342050342648,0.9503578667711746,8.120958333333334,7.12336583317874,-0.9975925001545938,1.0035085921451457,0.10880578176015893,0.11470805259069738,8.748370924976616,0.9485452791043449,8.120958333333334,7.123365833178742
4000,variance_corrected,1,15.0,18.247158345999196,0.274492126074462,0.3225939203111355,0.16947244656530114,0.1769470379308554,1.8231100338463633,0.9577580305781944,8.120958333333334,8.395450459407797,0.2744921260744619,0.295705959922978,0.10998221427618027,0.11470805259069738,2.5779006202652526,0.9588011634075952,8.120958333333334,8.395450459407797
8000,adaptation_neglecting,1,15.0,35.590315798999654,-1.0233239026578558,1.0315187970138626,0.129766015743806,0.15007852072509004,6.873194058884496,0.8646541498200668,8.134760416666667,7.111436514008813,-1.0233239026578544,1.0273595426621938,0.09097153482364473,0.10201563144006016,10.070609064119987,0.8917411335839797,8.13476041666667,7.111436514008814
8000,mean_only,1,15.0,35.590315798999654,-1.0113945834879268,1.0180191584786242,0.11594827950775725,0.15007852072509004,6.783243555174731,0.7725841042913018,8.134760416666667,7.12336583317874,-1.011394583487926,1.0140750064605715,0.07368252994633659,0.10201563144006016,9.940388469353314,0.7222670575697917,8.13476041666667,7.123365833178742
8000,variance_corrected,1,15.0,35.590315798999654,0.26069004274112834,0.2843863468421636,0.1136498829117744,0.15007852072509004,1.8949170438792846,0.7572694770889655,8.134760416666667,8.395450459407797,0.2606900427411296,0.270296823470187,0.07142180614981318,0.10201563144006016,2.6495628136066713,0.7001064948735571,8.13476041666667,8.395450459407797
16000,adaptation_neglecting,1,15.0,71.14552865899896,-1.0279905693245222,1.0320901615598204,0.09189935238303604,0.11157858959709806,9.249894314730279,0.8236289122749958,8.139427083333334,7.111436514008813,-1.0279905693245206,1.030011283007444,0.06448746004060629,0.07433567982916194,13.856216629411518,0.8675169203915428,8.139427083333334,7.111436514008814
16000,mean_only,1,15.0,71.14552865899896,-1.0160612501545934,1.019216113101893,0.08013127442400679,0.11157858959709806,9.13451332179593,0.718159950877268,8.139427083333334,7.12336583317874,-1.016061250154592,1.0173467412380268,0.05112658644893251,0.07433567982916194,13.685847006122637,0.6877799001291371,8.139427083333334,7.123365833178742
16000,variance_corrected,1,15.0,71.14552865899896,0.256023376074462,0.2682015872541649,0.07990070280722206,0.11157858959709806,2.403701178000374,0.7160935005159818,8.139427083333334,8.395450459407797,0.2560233760744635,0.2610916513720694,0.0511945438462742,0.07433567982916194,3.512332865887681,0.6886940963468602,8.139427083333334,8.395450459407797
1000,adaptation_neglecting,2,15.0,4.9856759649992455,-1.021445936774278,1.0674207743604645,0.3098956401494073,0.3182283065326303,3.3542609266627696,0.9738154456653636,8.168249999999999,7.146804063225722,-1.021445936774278,1.0402325209126344,0.19680420679338154,0.20250267870453142,5.136882768994981,0.9718597702133884,8.16825,7.146804063225723
1000,mean_only,2,15.0,4.9856759649992455,-1.045027823012163,1.0897341835936927,0.30892950655945994,0.3182283065326303,3.4243785396317477,0.9707794693863386,8.168249999999999,7.123222176987837,-1.0450278230121628,1.0633170226824273,0.19636685019799405,0.20250267870453142,5.250878800639951,0.969700013126789,8.16825,7.123222176987838
1000,variance_corrected,2,15.0,4.9856759649992455,0.22703217805671644,0.3832641878146437,0.30878443579306564,0.3182283065326303,1.2043686244967804,0.9703235992974236,8.168249999999999,8.395282178056716,0.2270321780567169,0.30028326473687744,0.19653607609764892,0.20250267870453142,1.4828607041540234,0.9705356855274577,8.16825,8.395282178056718
2000,adaptation_neglecting,2,15.0,9.345291779001855,-1.0003209367742787,1.0244134473647966,0.22086406360668048,0.21398191074325604,4.78738339987032,1.0321623114753935,8.147124999999999,7.146804063225722,-1.0003209367742787,1.0103997333831027,0.14235745386763035,0.1300908345370433,7.766878711931024,1.0942927253425694,8.147125,7.146804063225723
2000,mean_only,2,15.0,9.345291779001855,-1.0239028230121634,1.0454062407770166,0.21094363532293697,0.21398191074325604,4.885488858127529,0.9858012510975075,8.147124999999999,7.123222176987837,-1.0239028230121634,1.031999382498506,0.12901834948959892,0.1300908345370433,7.932913845707131,0.9917558754138135,8.147125,7.123222176987838
2000,variance_corrected,2,15.0,9.345291779001855,0.24815717805671592,0.32668544770918373,0.21246504824059229,0.21398191074325604,1.5266965631555363,0.9929112582582565,8.147124999999999,8.395282178056716,0.2481571780567163,0.2804401825742914,0.1306319676849013,0.1300908345370433,2.1557259093025203,1.0041596562108603,8.147125,8.395282178056718
4000,adaptation_neglecting,2,15.0,18.293003074002627,-0.9840084367742791,1.0006154830988336,0.1815454250983814,0.1738886746790027,5.754345330114011,1.0440324847694251,8.130812500000001,7.146804063225722,-0.9840084367742792,0.9920328000859079,0.1259224872821593,0.11049192981206447,8.978328116571543,1.1396532533764288,8.1308125,7.146804063225723
4000,mean_only,2,15.0,18.293003074002627,-1.0075903230121637,1.020945448699794,0.16459450231726283,0.1738886746790027,5.8712590143346155,0.946551019617023,8.130812500000001,7.123222176987837,-1.0075903230121641,1.0129795641732233,0.10435199281669955,0.11049192981206447,9.16790543794645,0.9444309009191139,8.1308125,7.123222176987838
