dr,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dt,R_max,rmse_vs_finest_hz
0.002,0.9999994189096739,0.9999994189096739,5.810903260794476e-07,1.7765482812523501e-06,5.810903277185479e-07,3.423183718998189,2.0,True,0.0001,2.0,0.06908392752287602
0.001,0.9999994611954337,0.9999994611954337,5.388045662968466e-07,1.6903432597907438e-06,5.38804565322478e-07,4.463349361998553,2.0,True,0.0001,2.0,0.0016124273258209013
0.0005,0.999999481068478,0.999999481068478,5.189315219755741e-07,1.6504798545357154e-06,5.189315216453781e-07,6.829251374998421,2.0,True,0.0001,2.0,0.0
