N,MC_runtime_s,PDE_runtime_s,speedup_MC_over_PDE,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
1000,0.3421965369998361,0.9082220119998965,0.37677630852210076,0.10306314326280211,0.2593916707611047,0.23803786959437453,0.23437374947552644,1.1067437003570686,1.01563366258827,8.31125,8.414313143262804
5000,1.4828037440020125,0.9082220119998965,1.6326445785396595,0.17631314326280148,0.20615771113949408,0.10683949351745317,0.08023968770394245,2.5692735981244956,1.3315043537015634,8.238000000000001,8.414313143262804
20000,5.734443633999035,0.9082220119998965,6.313922761431253,0.24931314326280143,0.2527961256862805,0.04181910757555167,0.08623156646627095,2.931596120141926,0.48496286556395807,8.165000000000001,8.414313143262804
50000,14.109136098999443,0.9082220119998965,15.534897759118671,0.26291314326280213,0.26394345848811335,0.023298677609248006,0.07544221987409054,3.4986173382573096,0.3088281024621543,8.151399999999999,8.414313143262804
